gene_id,gene_symbol,major_class,subcategory,functional_label,heatmap_row_label,shared_across_classes,TMEM94_required,raw_gene_id,raw_gene_symbol,mapping_method,filter_status,N1,N3,N4,N5,N6,N7,N8,N9,N10,O1,O2,O3,O5,O6,O7,O8,O9,O10,D1,D2,D3,D5,D6,D7,D8S,HF1,HF2,HF3,HF4,HF5,HF6,HF7,HF8,HF9,HF10
ENSG00000109572,CLCN3,Chloride channels,CLC family (voltage-gated Cl⁻),ClC-3 (vesicular/endosomal),CLCN3 | ClC-3 (vesicular/endosomal),No,No,ENSG00000109572,CLCN3,gene_id,retained,0.22103419,-0.09146448,-0.17655477,-0.09505360,0.10909248,0.18569665,0.09929912,-0.04802479,-0.20402480,-0.01165797,-0.47906657,-0.14464977,0.34075678,0.24122162,-0.28804105,-0.21546453,0.25714997,-0.09139675,0.04089913,0.04776638,0.45845113,0.43632560,-0.16184077,-0.01628232,-0.14754045,-0.44570160,-0.30207643,0.41054050,-0.03096772,-0.13903931,0.24079183,-0.81895796,-0.08528373,0.57801288,-0.11994869
ENSG00000073464,CLCN4,Chloride channels,CLC family (voltage-gated Cl⁻),ClC-4,CLCN4 | ClC-4,No,No,ENSG00000073464,CLCN4,gene_id,retained,0.09307553,-0.13493766,0.13598178,0.17169215,-0.04708454,-0.04520813,-0.61864245,0.08994237,0.35518094,0.37398909,-0.11595275,0.21822769,0.48292546,-0.07124435,0.26872506,-0.14978428,0.25893282,-0.36399395,0.20966073,0.09552739,0.07023672,-0.07294279,-0.56519642,0.02431331,-0.32351870,-0.52747636,-0.25516340,0.30760502,-0.12726834,0.04922183,-0.03946874,-1.12530076,-0.20775480,0.20194828,-0.27831242
ENSG00000171365,CLCN5,Chloride channels,CLC family (voltage-gated Cl⁻),ClC-5,CLCN5 | ClC-5,No,No,ENSG00000171365,CLCN5,gene_id,retained,0.35728723,0.47393804,-0.02030210,0.09072024,-0.60076934,-0.75000437,0.20779780,-0.12846697,0.36979946,-0.46309369,0.92048615,0.18838118,-0.65078296,-0.14256516,-0.07014527,-0.07535799,-0.21214144,1.59080003,-0.22373581,-0.13886390,0.46274351,-0.26211657,0.02593341,-0.07487046,0.36421377,0.32978424,0.11402936,0.06843334,0.01780244,0.12312539,0.14979788,0.45895410,0.26685122,0.10293648,-0.67464924
ENSG00000011021,CLCN6,Chloride channels,CLC family (voltage-gated Cl⁻),ClC-6,CLCN6 | ClC-6,No,No,ENSG00000011021,CLCN6,gene_id,retained,0.12638257,0.22148692,-0.33337989,0.30284435,-0.12027004,0.18762813,0.14887962,-0.54307290,0.00950126,-0.05383879,-0.77728960,-0.22160961,-0.15123079,-0.11607169,-0.08498473,0.21179367,-0.46615949,-0.36418171,-0.26043760,0.13443031,-0.06102581,0.03425853,0.25426163,-0.23492788,0.12061125,-0.28441731,0.07084118,0.55857042,0.32004777,-0.02242361,0.20222908,-0.25605071,0.27484346,0.21006852,-0.18520406
ENSG00000103249,CLCN7,Chloride channels,CLC family (voltage-gated Cl⁻),ClC-7 (lysosomal),CLCN7 | ClC-7 (lysosomal),No,No,ENSG00000103249,CLCN7,gene_id,retained,0.16942106,0.06424901,-0.09283967,0.01711591,-0.02066748,-0.09179478,0.15383507,0.01957264,-0.21889177,-0.00797831,-0.04485257,-0.16147128,-0.25171498,-0.16853710,-0.34196577,-0.27015562,-0.24427110,-0.59008668,0.12003390,-0.21434397,0.00355560,0.14269162,-0.19884371,-0.02516819,-0.04816185,-0.35464901,-0.07699448,-0.18677003,-0.22584197,-0.05691161,-0.34838239,-0.45174255,-0.01113486,-0.44336774,-0.41172473
ENSG00000186510,CLCNKA,Chloride channels,CLC family (voltage-gated Cl⁻),ClC-Ka (kidney),CLCNKA | ClC-Ka (kidney),No,No,ENSG00000186510,CLCNKA,gene_id,retained,0.56997836,-1.09993823,-0.31451549,-1.33436249,0.13633728,-0.11626953,-0.13564458,1.10459714,1.18981754,0.90186753,-0.35959295,0.13045580,0.17652147,-0.18681237,0.31272075,0.33866940,1.45053229,0.59944356,-0.60078988,-0.91315265,-1.99617610,-0.45075368,-2.22205029,-0.19544330,-0.91760352,-0.17745170,-0.93313533,-1.73653044,1.38276365,1.93637423,0.23523375,-0.98459538,-2.98650201,0.81118824,-0.44773735
ENSG00000184908,CLCNKB,Chloride channels,CLC family (voltage-gated Cl⁻),ClC-Kb (kidney),CLCNKB | ClC-Kb (kidney),No,No,ENSG00000184908,CLCNKB,gene_id,retained,-1.22755079,-0.66478119,0.69601382,0.30982859,0.08446527,-0.10532772,-0.08885758,1.02867966,-0.03247006,-0.21611667,-1.80581616,0.92127179,-0.47961522,-0.38838319,0.04160899,0.62991438,-0.63085779,-2.09935508,0.94125828,-1.62036352,-0.38822416,0.05394429,-2.52238218,-0.50796706,-0.10729136,0.04091440,0.10921943,0.25691472,0.30964119,-0.58182456,-1.14606947,-1.29587757,-0.58350205,0.43041618,0.15895624
ENSG00000131620,ANO1,Chloride channels,Ca²⁺-activated Cl⁻ (anoctamin / TMEM16),"TMEM16A (cardiac, smooth muscle)","ANO1 | TMEM16A (cardiac, smooth muscle)",No,No,ENSG00000131620,ANO1,gene_id,retained,0.10930509,-0.31155351,0.43578584,0.09899204,-0.83297583,-0.02824717,-0.52308854,0.42916625,0.62261583,-0.07776948,-0.17135759,0.45747348,-0.04289314,0.17000483,0.58944710,0.11783152,1.10783861,-0.46847522,-0.16903665,0.12622824,0.12617585,-0.52429665,-0.43114789,-0.18033454,0.43684667,0.34917513,-0.03651860,0.73939797,0.67749989,0.04634681,0.96104775,0.88810034,-0.34260982,0.98021312,0.62285010
ENSG00000047617,ANO2,Chloride channels,Ca²⁺-activated Cl⁻ (anoctamin / TMEM16),TMEM16B,ANO2 | TMEM16B,No,No,ENSG00000047617,ANO2,gene_id,retained,0.18400503,0.73326440,0.34274608,-0.36550476,0.41716743,-0.53724151,-0.26272652,-0.28612289,-0.22558727,-0.37113123,-0.39057509,-0.52855756,0.04437370,0.30263433,-1.82628555,0.42446109,-0.13369699,-0.33119835,0.73705705,0.10804941,0.65233072,0.65576771,0.40583344,0.61158535,1.27019133,-0.05180402,0.77099593,-0.03000267,-0.51841308,-0.74423384,-0.50404263,0.29775644,0.39996716,0.26073242,-0.58662119
ENSG00000177119,ANO6,Chloride channels,Ca²⁺-activated Cl⁻ (anoctamin / TMEM16),TMEM16F (channel + lipid scramblase),ANO6 | TMEM16F (channel + lipid scramblase),No,No,ENSG00000177119,ANO6,gene_id,retained,0.22156121,-0.25967692,0.14864535,0.23745684,-0.36005272,0.01799712,-0.05403292,-0.08871103,0.13681307,0.25697316,0.26250071,-0.01647101,0.15976195,0.19112517,0.44504203,0.12560063,0.40339642,0.38968048,0.01496161,0.45553088,0.27630867,-0.02045324,0.17137621,-0.00193462,0.32063405,-0.11160832,-0.53312715,-0.19246633,0.36412865,0.27601071,0.22679938,0.56407274,-0.13837217,0.25075443,0.12653389
ENSG00000160746,ANO10,Chloride channels,Ca²⁺-activated Cl⁻ (anoctamin / TMEM16),TMEM16K,ANO10 | TMEM16K,No,No,ENSG00000160746,ANO10,gene_id,retained,0.11935393,-0.21478868,0.18153384,-0.25383347,-0.53749869,0.18401109,-0.08478346,0.21946395,0.38654149,0.03870361,0.88519113,0.01479416,0.22164764,0.36012084,0.20030112,-0.00786010,0.06759639,1.12431807,0.19287831,-0.08915072,0.19639378,0.07668335,0.36612993,-0.66440166,0.15297583,0.05385687,0.01081059,-0.12059179,-0.18965857,-0.21247460,0.36172185,0.57562152,-0.34558219,0.40235087,0.19009768
ENSG00000001626,CFTR,Chloride channels,cAMP-activated Cl⁻,CFTR (cardiac arrhythmia modulator),CFTR | CFTR (cardiac arrhythmia modulator),No,No,ENSG00000001626,CFTR,gene_id,retained,-1.03947452,-0.23808538,-0.59016617,-1.10054087,2.11008300,-0.14750148,1.16872650,0.18217868,-0.34521977,-0.05256767,-1.37220923,0.44916632,1.18647295,1.94252079,0.78755047,-1.83510167,0.75878680,-4.64722805,-0.17503615,-2.25293366,-1.13432325,1.72230085,0.08037515,-0.58734704,-4.44806810,-4.67315086,-0.51874146,0.90959371,-0.92530850,-1.19171926,0.40047874,0.84554861,0.19727893,0.34333564,0.66937255
ENSG00000164889,SLC4A2,Chloride channels,Cl⁻/HCO₃⁻ exchangers,AE2,SLC4A2 | AE2,No,No,ENSG00000164889,SLC4A2,gene_id,retained,0.22484399,-0.17048207,0.20329554,0.15296153,-0.34380138,-0.03880661,-0.20894933,0.37195279,-0.19101445,-0.18564576,0.56258024,0.43158266,-0.33533089,-0.32777969,-0.06416095,0.12954816,0.24838071,0.30311207,-0.00998865,0.28409175,0.13551068,0.20198442,-0.33180420,-0.28834814,0.29462179,-0.24759080,-0.45270368,-0.54989136,-0.14617455,-0.11373767,0.04254243,-0.12607520,0.02017675,-0.24009860,-0.57529071
ENSG00000114923,SLC4A3,Chloride channels,Cl⁻/HCO₃⁻ exchangers,AE3 (cardiac),SLC4A3 | AE3 (cardiac),No,No,ENSG00000114923,SLC4A3,gene_id,retained,0.22215328,-0.33858298,0.03832507,-0.11446605,0.27460981,-0.19747287,-0.08284072,-0.06314333,0.26141779,-0.33684249,-0.22955875,-0.01352314,0.25353548,0.07029020,0.02851203,-0.02440550,-0.07773949,-0.60347243,-0.58415742,-0.21885401,-0.22383748,-0.00691457,0.22722644,0.10491148,-0.47998184,-0.16557079,-0.42365016,-0.38332845,-0.46407985,-0.15096719,-0.54884347,-1.70420751,-0.67295370,-0.14882189,-0.70275567
ENSG00000124067,SLC12A4,Chloride channels,K⁺/Cl⁻ cotransporters (KCC),KCC1,SLC12A4 | KCC1,No,No,ENSG00000124067,SLC12A4,gene_id,retained,0.12306580,-0.05250624,0.01436539,-0.25319601,0.19152740,0.02833999,-0.01379034,0.00549393,-0.04329990,-0.06303114,0.31545797,0.37421754,0.17713787,0.01212796,-0.40363525,-0.08709402,0.12291822,-0.11251264,0.02677533,0.14544132,-0.01253035,0.51281391,0.28218663,0.11660729,0.22503206,0.09250800,0.21608296,0.05520250,0.24432497,0.17389613,-0.15605117,-0.10459168,0.38673105,-0.01017583,0.02323207
ENSG00000140199,SLC12A6,Chloride channels,K⁺/Cl⁻ cotransporters (KCC),KCC3,SLC12A6 | KCC3,No,No,ENSG00000140199,SLC12A6,gene_id,retained,0.73300083,0.16916188,-0.31778424,0.17983204,-0.27140024,-0.18082091,-0.09841742,-0.23676371,0.02319177,0.34757245,-0.29264371,0.07328452,0.18027550,0.31553390,-0.45903592,-0.22177750,-0.12832004,-0.20672112,-0.32895204,0.40527517,-0.05750181,0.10270986,-0.20194421,-0.17176177,0.01033851,-0.10846452,-0.62490386,-0.18815789,-0.13335291,0.16621956,-0.44590790,-0.41613299,-0.09267039,0.21836546,-0.32106602
ENSG00000113504,SLC12A7,Chloride channels,K⁺/Cl⁻ cotransporters (KCC),KCC4,SLC12A7 | KCC4,No,No,ENSG00000113504,SLC12A7,gene_id,retained,-0.28983197,-0.06718146,-0.18740262,-0.39668756,0.27469400,0.72322762,-0.01048168,0.14097982,-0.18731614,-0.51927414,-0.96388883,-0.05090262,-0.52600310,-0.50576726,-0.82480809,-0.41759012,-0.70776453,-1.48502190,0.09479757,-0.17772021,0.02338794,0.73716129,-0.79351979,0.58452731,-0.22592030,-0.33346819,0.04851694,0.12697723,0.06503834,-0.14512737,-0.35077005,-0.74997220,0.01662414,0.27707827,0.00414297
ENSG00000064651,SLC12A2,Chloride channels,Na⁺-K⁺-2Cl⁻ cotransporters (NKCC),"NKCC1 (broad, cardiac)","SLC12A2 | NKCC1 (broad, cardiac)",No,No,ENSG00000064651,SLC12A2,gene_id,retained,-0.22558187,0.21757838,0.15582242,0.03618411,-0.36346991,0.39165416,0.08251772,-0.32493580,0.03023078,0.06978000,-0.13583609,0.00575552,0.07115933,0.20608515,-0.15564646,0.07034492,0.33868612,-0.78562855,0.09855413,-0.00792530,0.07372817,-0.21895390,-0.11466207,0.14628779,0.64892888,-0.40344918,-0.03926785,0.54139413,-0.26299381,0.30093607,0.04761649,-0.78470498,-0.17144510,0.34482250,0.36478204
